,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
CURITIBA,"4,013","5,352","12,103","8,93","23,062","10,382","5,245","9,745","4,386","8,086","8,003","7,633","106,94"
ADRIANOPOLIS,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUDOS DO SUL,0,"0,001",0,0,0,"0,006",0,0,0,0,0,0,"0,007"
ALMIRANTE TAMANDARE,"0,163","0,106","0,106","0,065","1,088","1,226","1,665","1,117","0,126","0,175","0,353","0,001","6,191"
ARAUCARIA,"0,025","0,052","0,038","0,015","0,009","0,04","0,003","0,016","0,145",0,"0,005","0,001","0,349"
BALSA NOVA,0,0,0,0,0,0,0,1,"0,001",0,0,0,"1,001"
BOCAIUVA DO SUL,"0,004",0,0,0,0,0,0,0,0,0,0,0,"0,004"
CAMPINA GRANDE DO SUL,"0,016",0,"0,007",0,"0,001","0,011","0,007",0,"0,005","0,003",0,0,"0,05"
CAMPO LARGO,"20,196","0,186","0,18","0,036","0,037","0,227","0,025","0,167","0,021","4,035","2,15","0,1","27,36"
CAMPO MAGRO,"0,012",0,"0,01",0,0,"0,027","0,05",0,"0,068","0,008","0,072",0,"0,247"
CERRO AZUL,0,0,0,0,0,0,"0,001",0,"0,107",0,0,"0,035","0,143"
COLOMBO,"0,734","0,79","2,742","1,528","0,539","0,187","0,257","1,316","1,035","0,352","0,329","1,307","11,116"
DOUTOR ULYSSES,0,0,0,0,0,0,0,0,0,0,0,0,0
FAZENDA RIO GRANDE,"1,215","4,27","0,139","0,078","0,027","0,13","0,048","8,425","0,121","0,123","0,067","0,039","14,682"
ITAPERUCU,0,"0,007","0,001","0,06","0,508",0,"0,056",0,0,0,0,"0,004","0,636"
MANDIRITUBA,0,0,0,0,0,0,"0,035",0,"0,008","0,018",0,0,"0,061"
PINHAIS,"0,042","0,093","0,191","1,207","0,6","0,387","0,409","0,142","0,119","0,147","0,03","0,425","3,792"
PIRAQUARA,"0,37","0,453","0,163","0,061","0,101","0,8","0,023","0,03","0,293","0,107","0,018","0,072","2,491"
QUATRO BARRAS,"0,006","0,001",0,"0,02",0,0,0,0,0,0,"0,027",0,"0,054"
RIO BRANCO DO SUL,0,"0,002",0,"0,01","0,002",0,0,0,0,0,0,0,"0,014"
SAO JOSE DOS PINHAIS,"0,106","0,046","0,112","0,497","0,272","1,046","0,102","0,628","0,658","7,218","4,517","0,177","15,379"
TIJUCAS DO SUL,"0,002","0,001","0,001","0,001","0,004",0,"0,001",0,0,0,"0,007","0,002","0,019"
TUNAS DO PARANA,"0,001",0,0,"0,002",0,"0,001",0,0,0,0,0,0,"0,004"
ANTONINA,"0,11","0,007","0,008",0,"0,136","0,059","0,013","0,002",0,"0,106","0,001","0,031","0,473"
GUARAQUECABA,0,0,0,0,0,0,0,0,0,0,0,0,0
GUARATUBA,"0,101","0,932","0,011","0,018","0,095","0,84","0,108","0,102","0,03","0,024","0,067","0,421","2,749"
MATINHOS,"0,288","0,154","0,008","0,053","1,101","0,011","0,014","0,006","0,001","0,033","0,123","0,072","1,864"
MORRETES,0,0,"0,002","0,102",1,0,"0,005","0,181","0,068",0,0,"0,001","1,359"
PARANAGUA,"0,608","0,205","0,162","0,116","0,936","0,45","2,234","0,084","0,105","0,1","0,275","0,031","5,306"
PONTAL DO PARANA,"0,596","1,569","0,121","0,059","0,147","0,104","0,212","0,014","0,021","0,056","0,034","0,01","2,943"
ARAPOTI,0,0,0,0,0,0,0,0,"0,007",0,0,0,"0,007"
CARAMBEI,"0,002","0,001","0,279","0,008",0,0,0,0,0,0,"0,083","0,007","0,38"
CASTRO,"0,009","0,046","0,088","0,125","0,01","0,007",0,0,"0,136",0,0,"0,062","0,483"
FERNANDES PINHEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAMIRANGA,0,0,0,0,0,0,0,0,0,0,0,0,0
IMBITUVA,0,"0,001",0,0,"0,015","0,001",0,0,"0,018",0,0,0,"0,035"
INACIO MARTINS,0,"0,034",0,0,0,0,0,0,"0,007",0,0,0,"0,041"
IPIRANGA,0,0,0,0,0,0,0,0,0,0,0,0,0
IRATI,"0,018",0,"0,047","0,001","0,007","0,975",0,"0,089","0,018",0,"0,292",0,"1,447"
IVAI,0,0,"0,001",0,0,0,0,0,"0,004",0,0,0,"0,005"
JAGUARIAIVA,0,0,"0,008","0,001",0,"0,001",0,0,"0,003","0,002","0,228","0,001","0,244"
PALMEIRA,0,"0,027","0,004","0,018","0,445",0,"0,185",0,"0,002","0,001",0,"0,017","0,699"
PIRAI DO SUL,0,0,0,0,0,0,"0,87",0,"0,003","0,003",0,0,"0,876"
PONTA GROSSA,"0,061","0,179","6,996","41,758","0,189","0,079","1,856","0,333","1,755","0,622","0,123","0,588","54,539"
PORTO AMAZONAS,"0,007",0,0,"0,01",0,"0,002",0,0,0,0,0,0,"0,019"
REBOUCAS,0,"0,001",0,0,"0,001",0,0,0,0,0,0,0,"0,002"
RIO AZUL,0,0,0,0,0,0,0,"0,033",0,0,0,"0,408","0,441"
SENGES,0,"0,01",0,0,0,"0,108",0,0,0,0,"0,047",0,"0,165"
TEIXEIRA SOARES,0,0,0,0,0,"0,001",0,0,0,0,0,0,"0,001"
ANTONIO OLINTO,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO DO TENENTE,"0,031",0,0,0,"0,011",0,0,0,0,0,0,0,"0,042"
CONTENDA,0,0,0,0,"0,01",0,"0,02","0,001",0,"0,014",0,0,"0,045"
LAPA,"0,031","0,238","0,094","0,007",0,"0,026","0,009","0,009","0,031","0,043","0,214","0,028","0,73"
PIEN,0,0,"0,009",0,0,0,0,0,0,0,0,0,"0,009"
QUITANDINHA,0,0,"0,018",0,"0,004","0,005",0,"0,324","0,341",0,0,0,"0,692"
RIO NEGRO,"0,063","0,041","0,223","0,006","0,021","0,005","0,016","0,788","0,027","0,008","0,017","0,106","1,321"
SAO JOAO DO TRIUNFO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO MATEUS DO SUL,"0,003","1,554","0,146","0,009","0,075","0,029","0,004","0,152","0,052","0,115","0,001","0,003","2,143"
BITURUNA,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZ MACHADO,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERAL CARNEIRO,0,0,0,0,0,0,0,0,"0,003",0,0,0,"0,003"
MALLET,"0,003",0,0,0,0,0,0,0,0,0,"0,001","0,001","0,005"
PAULA FREITAS,0,0,0,0,0,0,0,0,0,"0,002",0,0,"0,002"
PAULO FRONTIN,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTO VITORIA,0,0,0,"0,005",0,0,0,0,0,0,0,0,"0,005"
UNIAO DA VITORIA,"0,246","0,004","0,012","1,083","0,086","0,011","0,286","0,759","0,653","0,038","0,165","0,401","3,744"
BOA VENTURA DE SAO ROQUE,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPINA DO SIMAO,0,0,0,0,0,0,0,0,0,0,0,0,0
CANDOI,0,0,0,"0,042",0,0,0,0,0,0,0,0,"0,042"
FOZ DO JORDAO,0,0,0,0,0,0,0,0,0,0,0,0,0
GUARAPUAVA,"0,018","0,022","0,049","0,114","0,128","0,034","1,038","0,029","0,036","0,005",0,0,"1,473"
MANOEL RIBAS,0,0,0,0,0,0,0,0,0,0,0,"0,001","0,001"
MATO RICO,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVA TEBAS,0,0,0,0,0,0,0,0,0,0,0,0,0
PINHAO,0,"0,008",0,"0,014",0,"0,002",0,"0,011",0,0,0,0,"0,035"
PITANGA,0,0,0,"0,001","0,007",0,"0,001",0,0,0,"0,014",0,"0,023"
PRUDENTOPOLIS,"0,001","0,005","0,114",0,0,0,0,"0,008","0,262","0,05","0,001",0,"0,441"
RESERVA DO IGUACU,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA MARIA DO OESTE,0,0,0,0,0,0,0,0,0,0,0,0,0
TURVO,0,0,0,0,0,0,0,0,0,0,0,0,0
CANTAGALO,0,0,0,0,0,0,0,0,0,0,0,0,0
GOIOXIM,0,0,0,0,0,0,0,0,0,0,0,0,0
LARANJAL,0,0,0,0,0,0,0,0,0,0,0,0,0
LARANJEIRAS DO SUL,0,"0,001","0,312",0,"0,026",0,"0,104","0,001",0,0,"0,004","0,017","0,465"
MARQUINHO,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVA LARANJEIRAS,0,0,0,0,0,0,0,0,0,0,0,0,0
PALMITAL,0,0,0,"0,002",0,0,0,"0,018",0,"0,037",0,"0,006","0,063"
PORTO BARREIRO,0,0,0,0,0,0,0,0,0,0,0,0,0
RIO BONITO DO IGUACU,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRMOND,0,0,0,0,0,0,0,0,0,0,0,0,0
BOM SUCESSO DO SUL,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOPINZINHO,0,0,"0,259",0,"0,038","0,039",0,0,0,"0,009","0,023",0,"0,368"
CLEVELANDIA,"0,091","0,003","0,047","0,001","0,001",0,"0,009","0,003","2,086",0,"0,005","0,052","2,298"
CORONEL DOMINGOS SOARES,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL VIVIDA,"0,015",0,0,"0,006",0,"0,002",0,"0,001",0,0,"0,001","0,001","0,026"
HONORIO SERPA,0,0,0,0,0,0,0,0,0,0,0,0,0
ITAPEJARA DO OESTE,0,0,0,"0,149",0,"0,02","0,002","0,015",0,0,"0,02",0,"0,206"
MANGUEIRINHA,"1,071",0,0,"0,01",0,"0,003","0,077",0,"1,062",0,0,0,"2,223"
MARIOPOLIS,0,0,"0,006",0,0,0,0,0,0,0,0,0,"0,006"
PALMAS,"0,863",0,"0,006","0,008","0,005","0,768","0,009","0,953","0,001",0,"0,117","0,026","2,756"
PATO BRANCO,0,"0,657","0,02","0,198","0,788","0,268","1,025","0,077","0,006","0,019","0,014","0,058","3,13"
SAO JOAO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO JORGE DO OESTE,0,"0,003","0,007",0,0,0,0,"0,005",0,0,0,0,"0,015"
SAUDADE DO IGUACU,0,0,0,0,0,"0,034",0,0,0,0,0,"0,045","0,079"
SULINA,0,0,0,0,0,0,0,0,0,0,0,0,0
VITORINO,"0,007",0,0,"0,004",0,0,0,0,0,0,0,0,"0,011"
AMPERE,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRACAO,0,0,0,0,0,0,0,0,0,0,0,0,0
BELA VISTA DA CAROBA,0,0,0,0,0,0,0,0,0,0,0,0,0
BOA ESPERANCA DO IGUACU,0,0,0,0,0,0,0,0,0,0,0,0,0
BOM JESUS DO SUL,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPANEMA,0,0,0,0,"0,05",0,0,0,"0,005",0,0,0,"0,055"
CRUZEIRO DO IGUACU,0,0,0,0,0,0,0,0,0,0,0,0,0
DOIS VIZINHOS,0,0,"0,001","0,005","0,474","0,001","0,036",0,"0,226",0,"0,006","0,05","0,799"
ENEAS MARQUES,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOR DA SERRA DO SUL,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANCISCO BELTRAO,"0,034","0,002","0,01",0,"0,125","0,039","0,174","0,018","0,008","0,018",0,0,"0,428"
MANFRINOPOLIS,0,0,0,0,0,0,0,0,0,0,0,0,0
MARMELEIRO,0,0,"0,005",0,0,0,0,0,0,0,0,0,"0,005"
NOVA ESPERANCA DO SUDOESTE,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVA PRATA DO IGUACU,0,0,0,0,0,0,0,"0,096",0,0,0,0,"0,096"
PEROLA DO OESTE,0,0,0,0,0,"0,006",0,0,0,0,0,0,"0,006"
PINHAL DE SAO BENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
PLANALTO,0,0,0,0,0,0,0,0,0,0,0,0,0
PRANCHITA,0,0,0,0,0,0,0,0,0,0,0,0,0
REALEZA,"0,001","0,015","0,01",0,"0,002","0,001","0,001",0,"0,716",0,"4,318",0,"5,064"
RENASCENCA,0,0,0,0,0,0,0,0,0,"0,27",0,0,"0,27"
SALGADO FILHO,0,0,0,0,0,0,0,0,0,0,0,0,0
SALTO DO LONTRA,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA IZABEL DO OESTE,0,"0,066",0,0,0,"0,007","0,022","0,003","0,002","0,025",0,"0,002","0,127"
SANTO ANTONIO DO SUDOESTE,"0,016","0,007",0,"0,001",0,0,0,0,"0,003",0,"0,05",0,"0,077"
VERE,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAHY,0,0,0,"0,001",0,0,0,0,0,0,0,0,"0,001"
BOA VISTA DA APARECIDA,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAGANEY,"0,001",0,0,0,0,0,0,0,0,0,0,0,"0,001"
CAMPO BONITO,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPITAO LEONIDAS MARQUES,"0,028",0,0,"0,062",0,"0,007","0,001",0,0,0,0,0,"0,098"
CASCAVEL,"0,076","0,133","0,054","6,371","0,305","1,15","1,399","0,586","0,099","2,172","0,566","0,289","13,2"
CATANDUVAS,0,0,0,0,0,0,0,0,0,0,0,0,0
CEU AZUL,0,0,0,0,0,0,0,0,0,261,0,0,261
CORBELIA,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTE DO SUL,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPIGAO ALTO DO IGUACU,0,0,0,0,0,0,0,0,"0,003",0,0,0,"0,003"
GUARANIACU,0,0,0,0,0,0,0,0,0,"0,008",0,0,"0,008"
IBEMA,0,0,0,0,0,"111,2",0,0,0,0,0,0,"111,2"
IGUATU,0,0,0,0,0,0,0,0,0,0,0,0,0
LINDOESTE,0,0,0,0,0,0,0,0,0,0,0,0,0
MATELANDIA,0,0,0,0,0,0,0,0,0,0,0,0,0
QUEDAS DO IGUACU,"0,305","0,036","0,147","0,024","0,036","0,008","0,022","0,048","0,002","0,003","0,018",0,"0,649"
RAMILANDIA,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA LUCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA TEREZA DO OESTE,"0,003",0,0,"0,019",0,0,0,0,0,0,0,0,"0,022"
TRES BARRAS DO PARANA,0,0,0,0,0,0,0,0,0,0,0,0,0
VERA CRUZ DO OESTE,0,0,0,0,0,0,0,0,0,0,0,0,0
FOZ DO IGUACU,"0,002","1,571","0,005","0,016","0,011","0,066","0,013","0,024","5,149",0,0,"0,008","6,865"
ITAIPULANDIA,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDIANEIRA,"0,016","0,041","0,005",0,"0,057","0,041",0,0,"0,112","0,003",0,"0,065","0,34"
MISSAL,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA TEREZINHA DE ITAIPU,0,0,0,"1,01","0,001",0,0,0,"0,1",0,0,"0,036","1,147"
SAO MIGUEL DO IGUACU,0,0,0,0,0,0,0,"3,074",0,0,0,0,"3,074"
SERRANOPOLIS DO IGUACU,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSIS CHATEAUBRIAND,"0,056","0,007","0,049","0,014","0,005","0,011","0,003","0,022",0,"0,002","0,001","0,004","0,174"
CAFELANDIA,"0,001",0,"0,001",0,0,0,0,0,0,"0,026","0,001",0,"0,029"
DIAMANTE DO OESTE,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS DO OESTE,0,0,0,0,0,0,0,0,0,0,0,0,0
FORMOSA DO OESTE,0,0,0,0,0,"0,003",0,0,0,0,0,0,"0,003"
GUAIRA,"215,5",0,0,0,0,"0,01",0,0,"0,027","0,001","0,007","10,027","225,572"
IRACEMA DO OESTE,0,0,0,0,0,0,0,0,"0,043",0,0,0,"0,043"
JESUITAS,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
MARECHAL CANDIDO RONDON,"0,007",0,"0,008",0,"0,002","0,043","0,062","0,028","0,103","0,003",0,0,"0,256"
MARIPA,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVA AURORA,0,0,0,0,0,0,0,"0,003",0,0,0,0,"0,003"
NOVA SANTA ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0
OURO VERDE DO OESTE,0,0,0,0,0,0,0,0,0,0,0,0,0
PALOTINA,"0,071","0,033",0,"0,827",0,0,0,0,"0,133","0,051",0,0,"1,115"
PATO BRAGADO,0,0,0,0,0,0,0,0,0,0,0,0,0
QUATRO PONTES,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA HELENA,0,"0,004",0,0,"0,001",0,0,0,0,0,0,0,"0,005"
SAO JOSE DAS PALMEIRAS,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO PEDRO DO IGUACU,0,0,0,0,0,0,0,0,0,0,0,0,0
TERRA ROXA,0,0,149,0,0,0,0,0,0,0,0,0,149
TOLEDO,"0,001","0,306","0,011","0,023","1,544","0,024","0,257",0,0,"0,069","0,464","0,024","2,723"
TUPASSI,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,0,0,0,0,0,0,0,0,0,0,0,0,0
ARARUNA,0,0,0,"0,001",0,0,0,0,0,"0,001",0,"0,002","0,004"
BARBOSA FERRAZ,"0,003",0,0,0,0,0,0,0,0,0,0,0,"0,003"
BOA ESPERANCA,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPINA DA LAGOA,"0,002",0,0,0,0,0,0,0,0,0,0,0,"0,002"
CAMPO MOURAO,"0,268","0,002","0,014","0,015","0,01","0,198","0,021","0,019","0,014","1,034","0,009","0,009","1,613"
CIANORTE,"0,064","0,017",0,0,"0,375",0,0,"0,022","0,033","0,027",0,"0,497","1,035"
CORUMBATAI DO SUL,0,0,0,0,0,0,"0,001",0,0,0,0,0,"0,001"
ENGENHEIRO BELTRAO,"0,007",0,0,0,0,"0,012",0,0,"0,021","0,001","0,038",0,"0,079"
FAROL,0,0,0,0,0,0,0,0,0,0,0,0,0
FENIX,0,"0,006",0,0,0,0,0,"0,001",0,0,0,0,"0,007"
INDIANOPOLIS,0,0,0,0,0,0,0,"0,002",0,0,0,0,"0,002"
IRETAMA,"0,206",0,0,0,0,0,0,0,0,0,0,0,"0,206"
JANIOPOLIS,0,0,0,0,0,0,0,0,0,0,0,0,0
JAPURA,0,0,0,0,0,"0,002","0,023",0,0,0,0,0,"0,025"
JURANDA,0,0,0,"0,016",0,"0,018","0,179",0,0,0,0,0,"0,213"
JUSSARA,"0,003",0,0,0,0,0,"0,005","0,005",0,0,0,0,"0,013"
LUIZIANA,0,0,0,0,0,0,"0,002","0,002","0,082","0,043","0,077","0,01","0,216"
MAMBORE,0,0,0,0,0,0,0,"0,002",0,0,"0,016",0,"0,018"
NOVA CANTU,0,0,0,0,0,0,0,0,0,0,0,0,0
PEABIRU,0,0,"3,155",0,0,0,0,0,0,0,0,0,"3,155"
QUINTA DO SOL,0,0,0,0,0,0,0,0,0,0,0,0,0
RONCADOR,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO MANOEL DO PARANA,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO TOME,0,0,0,0,0,0,"0,005",0,0,0,0,0,"0,005"
TERRA BOA,0,0,0,"0,057",0,"0,01",0,0,0,0,0,"0,014","0,081"
UBIRATA,0,0,0,0,"14,061","0,001",0,0,0,0,0,0,"14,062"
