,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
CURITIBA,"100,236","73,299","577,617","1044,982","1001,272","3390,816","1081,371","561,927","1306,098","930,961","1997,331","338,808","12404,718"
ADRIANOPOLIS,"0,006",0,0,0,0,"0,001",0,0,0,0,0,0,"0,007"
AGUDOS DO SUL,0,0,0,"0,004",0,"0,007",0,0,0,0,"146,731",0,"146,742"
ALMIRANTE TAMANDARE,"0,189","0,327","0,47","0,174","0,992","2,773","0,807","0,788","0,357","33,624","25,56","0,009","66,07"
ARAUCARIA,"20,106","1,964","0,321","3,103","382,412","2,165","0,094","12,91","0,16","1,46","1,924","578,889","1005,508"
BALSA NOVA,"92,4",0,"0,002","50,002","696,546","276,608",0,"10360,5","155,732","1335,039",0,255,"13221,829"
BOCAIUVA DO SUL,"0,011",0,0,"0,01",0,0,0,0,0,"0,003","0,02",0,"0,044"
CAMPINA GRANDE DO SUL,"1,391","1323,006","0,009","0,02","0,029","0,038","2,869","3190,013","0,008","0,517","0,078","34,71","4552,688"
CAMPO LARGO,"10,195","1,249","0,281","0,107","503,838","0,383","245,765","644,835","431,235","1,406","2,764","1967,787","3809,845"
CAMPO MAGRO,"0,151","0,031","0,095",0,0,"0,385",0,"0,056",0,"0,287","1,472","0,011","2,488"
CERRO AZUL,0,0,0,"0,003",0,0,0,0,"0,6",0,0,"0,002","0,605"
COLOMBO,"9,787","152,545","2,403","7,831","130,708","131,359","258,087","2469,17","2,144","5,019","1,067","17,616","3187,736"
DOUTOR ULYSSES,0,0,0,0,0,0,0,0,0,0,0,0,0
FAZENDA RIO GRANDE,"2,994","13,918","1,64","0,167","1,727","0,375","0,162","1,794","1,388","0,576","1,149","2,894","28,784"
ITAPERUCU,0,0,"0,265","0,39","0,277",0,"0,167",0,"0,706",0,0,0,"1,805"
MANDIRITUBA,"0,03","0,006",0,"0,005",0,0,"0,86",0,"0,013",0,0,"1,199","2,113"
PINHAIS,"0,648","0,129","0,377","5,194","50,641","1256,188","15,119","6,799","44,791","12,004","1,697","4,768","1398,355"
PIRAQUARA,"43,68","2,828","4,542","1,017","2,34","5,835","0,543","1,44","2,463","3,894","1,25","1,572","71,404"
QUATRO BARRAS,"0,001","0,057","0,025","0,02",0,"0,975","0,001","0,099","1,447","0,024","0,457","1564,76","1567,866"
RIO BRANCO DO SUL,"0,032",0,"0,002",0,"0,001",0,0,"0,116","0,055","4,278",0,0,"4,484"
SAO JOSE DOS PINHAIS,"0,695","2,433","3675,497","1958,333","536,768","369,493","89,394","15,628","58,558","214,069","0,87","4530,498","11452,236"
